name,url,date,address,description
SFDC Student Tour,https://www.eventbrite.com/e/sfdc-student-tour-tickets-1227119580699?aff=ebdssbdestsearch,"Friday, February 28","San Francisco Design Center, 101 Henry Adams Street San Francisco, CA 94103",We’re excited to invite you on an exclusive tour of the San Francisco Design Center! Join us for a 5-hour in-person tour. Refunds available up to 7 days before the event.
Transatlantic Trade in Focus - The Impact of the New US Government,https://www.eventbrite.com/e/transatlantic-trade-in-focus-the-impact-of-the-new-us-government-tickets-1117217239839?aff=ebdssbdestsearch,"Thursday, February 27","Bay Area Council Economic Institute, The Historic Klamath, Pier 9, Pier 9 San Francisco, CA 94111","This event discusses the evolving dynamics of transatlantic trade under the new U.S. administration. Join us for a dynamic and forward-looking conversation that will shed light on challenges, opportunities, and strategies for businesses navigating this new chapter in transatlantic relations."
Set Underground w/ SABO 360 Experience (Open to Close) Farewell Party,https://www.eventbrite.com/e/set-underground-w-sabo-360-experience-open-to-close-farewell-party-tickets-1238212830909?aff=ebdssbdestsearch,February 28 - March 1,"The Midway SF, 900 Marin St San Francisco, CA 94124","Set Underground & Safra Present SABO – 360 Experience (Open to Close) at The Midway! FAREWELL Party. San Francisco, get ready for a beautiful night as Sabo takes over the decks for a full open-to-close 360° experience! This Gods & Monsters room will take you on an immersive journey through hypnotic rhythms, deep tribal grooves, and soulful beats that will transport you to another dimension."
Flow Factory @ Valencia Room - San Francisco,https://www.eventbrite.com/e/flow-factory-valencia-room-san-francisco-tickets-1137994846219?aff=ebdssbdestsearch,February 28 - March 1,"The Valencia Room, 647 Valencia Street, San Francisco, CA 94110","San Francisco's Biggest Perreo Party! Flow Factory event featuring Reggaeton, Dembow, and Hip Hop music. VIP reservations recommended. 21+ event with strict dress code and ratio enforcement. No refunds under any circumstance."
BOLLYWOOD PARTY - BLACK & WHITE SPL| EVE NIGHT CLUB | SAN FRAN | FEB 28,https://www.eventbrite.com/e/bollywood-party-black-white-spl-eve-night-club-san-fran-feb-28-tickets-1242651246329?aff=ebdssbdestsearch,"Friday, February 28","Eve, Folsom Street, San Francisco, CA, USA, 1535 Folsom Street San Francisco, CA 94103","Step into the glamorous world of Bollywood for a night to remember at stunning EVE Hottest Night Club in San Francisco! This exclusive Black & White Bollywood Party combines the best of classic elegance with the vibrant, energetic flair of Bollywood music and dance."
Young Professionals of San Francisco (YPOSF) - February Happy Hour,https://www.eventbrite.com/e/young-professionals-of-san-francisco-yposf-february-happy-hour-tickets-1232977291269?aff=ebdssbdestsearch,"Wednesday, February 26, 2025","Harper & Rye, 1695 Polk Street, San Francisco, CA 94109","Join YPOSF for our February Happy Hour at Harper & Rye! Bring your friends and grab a drink. YPOSF is San Francisco's premier networking organization for young professionals, fostering professional development and meaningful connectivity for members."
Healthcare and Business Networking | Elevating Your Potential - SF,https://www.eventbrite.com/e/healthcare-and-business-networking-elevating-your-potential-sf-tickets-1107491981329?aff=ebdssbdestsearch,"Wednesday, February 26, 2025","The Showdown, 1268 Grant Avenue, San Francisco, CA 94133","Strive welcomes you to 'Healthcare and Business Networking', San Francisco's hottest networking event! Meet Medical Professionals, Consultants, Researchers, Pioneers in the Field, and more. This multi-vertical event will provide opportunities to expand your network and create a brighter future."
Strut SF & F8 Present Kevin Knapp Birthday Celebration,https://www.eventbrite.com/e/strut-sf-f8-present-kevin-knapp-birthday-celebration-tickets-1234163539369?aff=ebdssbdestsearch,February 26 - February 27,"F8 Nightclub & Bar, 1192 Folsom Street San Francisco, CA 94103",Celebrate Kevin Knapp's birthday at F8 Nightclub & Bar on February 26th with 6 hours of music and fun!
Latino Fridays at The Grand Nightclub 2.28.25,https://www.eventbrite.com/e/latino-fridays-at-the-grand-nightclub-22825-tickets-1224262184149?aff=ebdssbdestsearch,"Friday, February 28, 2025","The Grand Nightclub, 520 4th Street San Francisco, CA 94107","Join us at The Grand for Latino Fridays! Get ready to dance the night away to your favorite Reggaeton, Hip Hop, Top 40 Club Anthems!"
Techno Trance Thursday- Pulse on Bloom Valentine's Celebration,https://www.eventbrite.com/e/techno-trance-thursday-pulse-on-bloom-valentines-celebration-tickets-1224300498749?aff=ebdssbdestsearch,"Thursday, February 27","BuzzWorks, 365 11th Street San Francisco, CA 94103","Pulse in Bloom: A Psytech Valentine’s Celebration. Join us for a night filled with psytech grooves and loving energy, crafted for lovers of music, connection, and the surreal. Let music unite us and keep the good vibes on the dancefloor. Limited Capacity. Tickets & Info available at the event link."
